"Layer","Name","本体","A","区分"
"top",".claude","False","True","Aのみ"
"top",".git","False","True","Aのみ"
"top",".pytest_cache","True","False","本体のみ"
"top","caliber","True","False","本体のみ"
"top","candidates","True","True","両方"
"top","command_center","True","False","本体のみ"
"top","data","True","True","両方"
"top","Experiment_v2.0","True","False","本体のみ"
"top","fp","True","False","本体のみ"
"top","mocka-share","False","True","Aのみ"
"top","reports","True","False","本体のみ"
"top","seo","False","True","Aのみ"
"top","sirius-lab-products","True","False","本体のみ"
"top","specs","True","True","両方"
"top","src","False","True","Aのみ"
"top","web","True","False","本体のみ"
"top","workshop","True","True","両方"
"top","workshop_template","True","False","本体のみ"
"workshop","__pycache__","True","False","本体のみ"
"workshop","cyber_benchmark","True","True","両方"
"workshop","DDP","True","False","本体のみ"
"workshop","essence_recover","False","True","Aのみ"
"workshop","memory","True","False","本体のみ"
"workshop","mini-mocka-series","True","False","本体のみ"
"workshop","mocka-cloudflare","True","False","本体のみ"
"workshop","needle_eye_project","True","True","両方"
"workshop","ntp_insurance","True","False","本体のみ"
"workshop","Orchestra_Project","True","False","本体のみ"
"workshop","phi-os","True","True","両方"
"workshop","phl_os","False","True","Aのみ"
"workshop","pr-os","True","False","本体のみ"
"workshop","Relay_Project","True","False","本体のみ"
"workshop","scamper_engine","True","False","本体のみ"
"workshop","seo-os","True","False","本体のみ"
"workshop","vasAI_Project","True","False","本体のみ"
