WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
127.0.0.1 - - [20/Jun/2026 16:04:27] "GET /health HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:04:46] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:46] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:46] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:46] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:46] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:46] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:48] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:48] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:48] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:48] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:48] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:48] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:49] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:49] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:49] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:49] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:49] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:49] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:51] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:51] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:51] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:51] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:51] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:51] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:52] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:52] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:52] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:52] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:52] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:52] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:54] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:54] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:54] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:54] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:54] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:54] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:55] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:55] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:55] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:55] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:55] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:55] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:57] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:57] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:57] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:57] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:57] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:57] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:58] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:58] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:58] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:58] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:58] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:04:58] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:00] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:00] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:00] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:00] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:00] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:00] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:01] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:01] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:01] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:01] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:01] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:01] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:03] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:03] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:03] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:03] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:03] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:03] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:04] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:04] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:04] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:04] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:04] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:04] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:06] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:06] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:06] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:06] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:06] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:06] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:07] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:07] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:07] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:07] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:07] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:07] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:09] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:09] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:09] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:09] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:09] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:09] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:10] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:10] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:10] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:10] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:10] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:10] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "GET /api/ise/panel HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "OPTIONS /loop/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "OPTIONS /risk/recommendation HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "OPTIONS /health/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "OPTIONS /heinrich/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "OPTIONS /api/beta/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "OPTIONS /api/ise/state HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "GET /health/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "GET /api/beta/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:15] "GET /risk/recommendation HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "OPTIONS /api/ise/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /api/ise/state HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "OPTIONS /api/gate/audit HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /heinrich/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /heinrich/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /api/ise/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /api/gate/audit HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /health/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /risk/recommendation HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /api/ise/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /api/ise/state HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /api/beta/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /loop/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /api/gate/audit HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:05:16] "GET /loop/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:04] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:04] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:04] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:04] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:04] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:04] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:06] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:06] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:06] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:06] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:06] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:06] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:07] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:07] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:07] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:07] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:07] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:07] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:09] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:09] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:09] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:09] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:09] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:09] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:10] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:10] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:10] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:10] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:10] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:10] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:12] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:12] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:12] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:12] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:12] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:12] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:13] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:13] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:13] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:13] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:13] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:13] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "OPTIONS /loop/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /api/ise/panel HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "OPTIONS /heinrich/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /heinrich/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "OPTIONS /risk/recommendation HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "OPTIONS /health/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "OPTIONS /api/beta/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "OPTIONS /api/ise/state HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /api/beta/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /health/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:15] "GET /risk/recommendation HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /api/ise/state HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "OPTIONS /api/ise/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /api/ise/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "OPTIONS /api/gate/audit HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /heinrich/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /loop/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /api/gate/audit HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /health/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /risk/recommendation HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /api/ise/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /api/ise/state HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /api/beta/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /loop/status HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /api/gate/audit HTTP/1.1" 200 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /get_intent/Copilot HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:16] "GET /get_intent/Genspark HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:18] "GET /get_intent/ChatGPT HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:18] "GET /get_intent/Gemini HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:18] "GET /get_intent/Perplexity HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:18] "GET /get_intent/Claude HTTP/1.1" 204 -
127.0.0.1 - - [20/Jun/2026 16:06:18] "GET /get_intent/Copilot HTTP/1.1" 204 -
