recurrence_id,current_event_id,current_when,original_event_id,original_when,component,what_type,recurrence_count,note
REC_0001,e20260401_122919,2026-04-01t13:25:24,e20260401_122918,2026-04-01t13:06:56,router,save,2,同一コンポーネント・同一処理タイプの再発
REC_0002,e20260402_010,2026-04-02t10:27:38,e20260401_122919,2026-04-01t13:25:24,router,save,3,同一コンポーネント・同一処理タイプの再発
REC_0003,e20260402_011,2026-04-02t11:31:27,e20260401_001,2026-04-01t07:37:29,router,collaboration,2,同一コンポーネント・同一処理タイプの再発
REC_0004,e20260403_001,2026-04-03t07:55:25,e20260402_010,2026-04-02t10:27:38,router,save,4,同一コンポーネント・同一処理タイプの再発
REC_0005,e20260403_001,2026-04-03t07:55:25,e20260403_001,2026-04-03t07:55:25,router,save,5,同一コンポーネント・同一処理タイプの再発
REC_0006,e20260403_001,2026-04-03t07:55:25,e20260403_001,2026-04-03t07:55:25,router,save,6,同一コンポーネント・同一処理タイプの再発
REC_0007,e20260403_002,2026-04-03t07:55:25,e20260403_001,2026-04-03t07:55:25,router,save,7,同一コンポーネント・同一処理タイプの再発
REC_0008,e20260403_002,2026-04-03t07:55:25,e20260403_002,2026-04-03t07:55:25,router,save,8,同一コンポーネント・同一処理タイプの再発
REC_0009,e20260403_003,2026-04-03t07:55:50,e20260402_001,2026-04-02t06:34:59,router,share,2,同一コンポーネント・同一処理タイプの再発
REC_0010,e20260403_004,2026-04-03t09:44:20,e20260402_011,2026-04-02t11:31:27,router,collaboration,3,同一コンポーネント・同一処理タイプの再発
REC_0011,e20260403_005,2026-04-03t09:44:56,e20260403_004,2026-04-03t09:44:20,router,collaboration,4,同一コンポーネント・同一処理タイプの再発
REC_0012,e20260403_007,2026-04-03t09:47:42,e20260403_002,2026-04-03t07:55:25,router,save,9,同一コンポーネント・同一処理タイプの再発
REC_0013,e20260403_008,2026-04-03t09:48:36,e20260403_007,2026-04-03t09:47:42,router,save,10,同一コンポーネント・同一処理タイプの再発
REC_0014,e20260403_009,2026-04-03t09:48:36,e20260403_008,2026-04-03t09:48:36,router,save,11,同一コンポーネント・同一処理タイプの再発
REC_0015,e20260403_010,2026-04-03t09:48:36,e20260403_009,2026-04-03t09:48:36,router,save,12,同一コンポーネント・同一処理タイプの再発
REC_0016,e20260403_011,2026-04-03t09:48:38,e20260403_005,2026-04-03t09:44:56,router,collaboration,5,同一コンポーネント・同一処理タイプの再発
REC_0017,e20260403_012,2026-04-03t09:49:23,e20260403_010,2026-04-03t09:48:36,router,save,13,同一コンポーネント・同一処理タイプの再発
REC_0018,e20260403_013,2026-04-03t09:49:23,e20260403_012,2026-04-03t09:49:23,router,save,14,同一コンポーネント・同一処理タイプの再発
REC_0019,e20260403_014,2026-04-03t09:50:20,e20260403_013,2026-04-03t09:49:23,router,save,15,同一コンポーネント・同一処理タイプの再発
REC_0020,e20260403_015,2026-04-03t09:50:20,e20260403_014,2026-04-03t09:50:20,router,save,16,同一コンポーネント・同一処理タイプの再発
REC_0021,e20260403_016,2026-04-03t09:50:20,e20260403_015,2026-04-03t09:50:20,router,save,17,同一コンポーネント・同一処理タイプの再発
REC_0022,e20260403_017,2026-04-03t09:50:20,e20260403_016,2026-04-03t09:50:20,router,save,18,同一コンポーネント・同一処理タイプの再発
REC_0023,e20260403_018,2026-04-03t09:50:21,e20260403_011,2026-04-03t09:48:38,router,collaboration,6,同一コンポーネント・同一処理タイプの再発
REC_0024,e20260403_019,2026-04-03t09:59:43,e20260403_017,2026-04-03t09:50:20,router,save,19,同一コンポーネント・同一処理タイプの再発
REC_0025,e20260403_020,2026-04-03t10:00:22,e20260403_019,2026-04-03t09:59:43,router,save,20,同一コンポーネント・同一処理タイプの再発
REC_0026,e20260403_020,2026-04-03t10:00:22,e20260403_020,2026-04-03t10:00:22,router,save,21,同一コンポーネント・同一処理タイプの再発
REC_0027,e20260403_020,2026-04-03t10:00:22,e20260403_020,2026-04-03t10:00:22,router,save,22,同一コンポーネント・同一処理タイプの再発
REC_0028,e20260403_020,2026-04-03t10:00:22,e20260403_020,2026-04-03t10:00:22,router,save,23,同一コンポーネント・同一処理タイプの再発
REC_0029,e20260403_021,2026-04-03t10:00:22,e20260403_020,2026-04-03t10:00:22,router,save,24,同一コンポーネント・同一処理タイプの再発
REC_0030,e20260403_022,2026-04-03t10:00:23,e20260403_003,2026-04-03t07:55:50,router,share,3,同一コンポーネント・同一処理タイプの再発
REC_0031,e20260403_023,2026-04-03t10:17:51,e20260403_021,2026-04-03t10:00:22,router,save,25,同一コンポーネント・同一処理タイプの再発
REC_0032,e20260403_023,2026-04-03t10:17:51,e20260403_023,2026-04-03t10:17:51,router,save,26,同一コンポーネント・同一処理タイプの再発
REC_0033,e20260403_023,2026-04-03t10:17:51,e20260403_023,2026-04-03t10:17:51,router,save,27,同一コンポーネント・同一処理タイプの再発
REC_0034,e20260403_023,2026-04-03t10:17:51,e20260403_023,2026-04-03t10:17:51,router,save,28,同一コンポーネント・同一処理タイプの再発
REC_0035,e20260403_024,2026-04-03t10:18:33,e20260403_022,2026-04-03t10:00:23,router,share,4,同一コンポーネント・同一処理タイプの再発
REC_0036,e20260403_025,2026-04-03t10:26:06,e20260403_018,2026-04-03t09:50:21,router,collaboration,7,同一コンポーネント・同一処理タイプの再発
REC_0037,e20260403_026,2026-04-03t10:28:51,e20260403_025,2026-04-03t10:26:06,router,collaboration,8,同一コンポーネント・同一処理タイプの再発
REC_0038,e20260403_027,2026-04-03t10:44:39,e20260403_023,2026-04-03t10:17:51,router,save,29,同一コンポーネント・同一処理タイプの再発
REC_0039,e20260403_028,2026-04-03t11:05:33,e20260403_026,2026-04-03t10:28:51,router,collaboration,9,同一コンポーネント・同一処理タイプの再発
REC_0040,e20260403_029,2026-04-03t11:08:52,e20260403_028,2026-04-03t11:05:33,router,collaboration,10,同一コンポーネント・同一処理タイプの再発
REC_0041,e20260403_030,2026-04-03t11:12:03,e20260403_027,2026-04-03t10:44:39,router,save,30,同一コンポーネント・同一処理タイプの再発
REC_0042,e20260403_030,2026-04-03t11:12:03,e20260403_030,2026-04-03t11:12:03,router,save,31,同一コンポーネント・同一処理タイプの再発
REC_0043,e20260403_030,2026-04-03t11:12:03,e20260403_030,2026-04-03t11:12:03,router,save,32,同一コンポーネント・同一処理タイプの再発
REC_0044,e20260403_030,2026-04-03t11:12:03,e20260403_030,2026-04-03t11:12:03,router,save,33,同一コンポーネント・同一処理タイプの再発
REC_0045,e20260403_030,2026-04-03t11:12:03,e20260403_030,2026-04-03t11:12:03,router,save,34,同一コンポーネント・同一処理タイプの再発
REC_0046,e20260403_031,2026-04-03t11:12:57,e20260403_024,2026-04-03t10:18:33,router,share,5,同一コンポーネント・同一処理タイプの再発
REC_0047,e20260403_032,2026-04-03t11:21:11,e20260403_030,2026-04-03t11:12:03,router,save,35,同一コンポーネント・同一処理タイプの再発
REC_0048,e20260403_032,2026-04-03t11:21:11,e20260403_032,2026-04-03t11:21:11,router,save,36,同一コンポーネント・同一処理タイプの再発
REC_0049,e20260403_032,2026-04-03t11:21:11,e20260403_032,2026-04-03t11:21:11,router,save,37,同一コンポーネント・同一処理タイプの再発
REC_0050,e20260403_032,2026-04-03t11:21:11,e20260403_032,2026-04-03t11:21:11,router,save,38,同一コンポーネント・同一処理タイプの再発
REC_0051,e20260403_032,2026-04-03t11:21:11,e20260403_032,2026-04-03t11:21:11,router,save,39,同一コンポーネント・同一処理タイプの再発
REC_0052,e20260403_033,2026-04-03t11:21:45,e20260403_031,2026-04-03t11:12:57,router,share,6,同一コンポーネント・同一処理タイプの再発
REC_0053,e20260403_034,2026-04-03t12:43:05,e20260403_029,2026-04-03t11:08:52,router,collaboration,11,同一コンポーネント・同一処理タイプの再発
REC_0054,e20260403_035,2026-04-03t17:10:58,e20260403_034,2026-04-03t12:43:05,router,collaboration,12,同一コンポーネント・同一処理タイプの再発
REC_0055,e20260403_036,2026-04-03t17:13:14,e20260403_035,2026-04-03t17:10:58,router,collaboration,13,同一コンポーネント・同一処理タイプの再発
REC_0056,e20260404_001,2026-04-04t09:21:57,e20260403_032,2026-04-03t11:21:11,router,save,40,同一コンポーネント・同一処理タイプの再発
REC_0057,e20260404_001,2026-04-04t09:21:57,e20260404_001,2026-04-04t09:21:57,router,save,41,同一コンポーネント・同一処理タイプの再発
REC_0058,e20260404_001,2026-04-04t09:21:57,e20260404_001,2026-04-04t09:21:57,router,save,42,同一コンポーネント・同一処理タイプの再発
REC_0059,e20260404_001,2026-04-04t09:21:57,e20260404_001,2026-04-04t09:21:57,router,save,43,同一コンポーネント・同一処理タイプの再発
REC_0060,e20260404_001,2026-04-04t09:21:57,e20260404_001,2026-04-04t09:21:57,router,save,44,同一コンポーネント・同一処理タイプの再発
REC_0061,e20260404_002,2026-04-04t09:22:15,e20260403_033,2026-04-03t11:21:45,router,share,7,同一コンポーネント・同一処理タイプの再発
REC_0062,e20260404_003,2026-04-04t10:52:23,e20260403_036,2026-04-03t17:13:14,router,collaboration,14,同一コンポーネント・同一処理タイプの再発
2026-04-05T18:10:32.356559,E20260405_034,INSTRUCTION_IGNORE,critical,Claude,claude_mcp,指示無視。明示的な禁止事項（上書き禁止等）を破った,1,False,False
2026-04-05T18:10:32.356601,E20260405_036,INSTRUCTION_IGNORE,critical,Claude,claude_mcp,指示無視。明示的な禁止事項（上書き禁止等）を破った,2,False,False
2026-04-05T18:10:32.356610,E20260405_037,INSTRUCTION_IGNORE,critical,Claude,claude_mcp,指示無視。明示的な禁止事項（上書き禁止等）を破った,3,True,False
